email,name,timestamp,company
charlie40@example.com,Charlie,21/07/2025 11:00:00,NetSpark
eva41@example.com,Eva,21/07/2025 11:01:00,NetSpark
julia42@example.com,Julia,21/07/2025 11:02:00,NetSpark
hannah43@example.com,Hannah,21/07/2025 11:03:00,FutureSoft
eva44@example.com,Eva,21/07/2025 11:04:00,Widgets Inc
david45@example.com,David,21/07/2025 11:05:00,NetSpark
hannah46@example.com,Hannah,21/07/2025 11:06:00,FutureSoft
julia47@example.com,Julia,21/07/2025 11:07:00,TechNova
eva48@example.com,Eva,21/07/2025 11:08:00,FutureSoft
eva49@example.com,Eva,21/07/2025 11:09:00,FutureSoft
ashutosh50@example.com,Ashutosh,21/07/2025 11:10:00,ByteBank
grace51@example.com,Grace,21/07/2025 11:11:00,Acme Corp
kevin52@example.com,Kevin,21/07/2025 11:12:00,FutureSoft
ashutosh53@example.com,Ashutosh,21/07/2025 11:13:00,Widgets Inc
hannah54@example.com,Hannah,21/07/2025 11:14:00,Widgets Inc
julia55@example.com,Julia,21/07/2025 11:15:00,Mailgrid
bob56@example.com,Bob,21/07/2025 11:16:00,Widgets Inc
eva57@example.com,Eva,21/07/2025 11:17:00,Gadgetry
eva58@example.com,Eva,21/07/2025 11:18:00,Widgets Inc
grace59@example.com,Grace,21/07/2025 11:19:00,TechNova
