email,name,timestamp,company
ashutosh20@example.com,Ashutosh,21/07/2025 11:00:00,ByteBank
david21@example.com,David,21/07/2025 11:01:00,TechNova
grace22@example.com,Grace,21/07/2025 11:02:00,Gadgetry
ivan23@example.com,Ivan,21/07/2025 11:03:00,NetSpark
bob24@example.com,Bob,21/07/2025 11:04:00,FutureSoft
ashutosh25@example.com,Ashutosh,21/07/2025 11:05:00,NetSpark
eva26@example.com,Eva,21/07/2025 11:06:00,NetSpark
frank27@example.com,Frank,21/07/2025 11:07:00,FutureSoft
ashutosh28@example.com,Ashutosh,21/07/2025 11:08:00,FutureSoft
grace29@example.com,Grace,21/07/2025 11:09:00,Gadgetry
alice30@example.com,Alice,21/07/2025 11:10:00,Widgets Inc
eva31@example.com,Eva,21/07/2025 11:11:00,NetSpark
alice32@example.com,Alice,21/07/2025 11:12:00,NetSpark
eva33@example.com,Eva,21/07/2025 11:13:00,TechNova
alice34@example.com,Alice,21/07/2025 11:14:00,Gadgetry
bob35@example.com,Bob,21/07/2025 11:15:00,Acme Corp
charlie36@example.com,Charlie,21/07/2025 11:16:00,Acme Corp
hannah37@example.com,Hannah,21/07/2025 11:17:00,Widgets Inc
charlie38@example.com,Charlie,21/07/2025 11:18:00,Widgets Inc
ashutosh39@example.com,Ashutosh,21/07/2025 11:19:00,Mailgrid
