email,name,timestamp,company
eva80@example.com,Eva,21/07/2025 11:00:00,Mailgrid
ivan81@example.com,Ivan,21/07/2025 11:01:00,Acme Corp
alice82@example.com,Alice,21/07/2025 11:02:00,Widgets Inc
charlie83@example.com,Charlie,21/07/2025 11:03:00,Widgets Inc
grace84@example.com,Grace,21/07/2025 11:04:00,TechNova
ashutosh85@example.com,Ashutosh,21/07/2025 11:05:00,Widgets Inc
alice86@example.com,Alice,21/07/2025 11:06:00,Mailgrid
ashutosh87@example.com,Ashutosh,21/07/2025 11:07:00,NetSpark
julia88@example.com,Julia,21/07/2025 11:08:00,TechNova
frank89@example.com,Frank,21/07/2025 11:09:00,Mailgrid
julia90@example.com,Julia,21/07/2025 11:10:00,ByteBank
ivan91@example.com,Ivan,21/07/2025 11:11:00,TechNova
hannah92@example.com,Hannah,21/07/2025 11:12:00,Widgets Inc
kevin93@example.com,Kevin,21/07/2025 11:13:00,Widgets Inc
ashutosh94@example.com,Ashutosh,21/07/2025 11:14:00,TechNova
hannah95@example.com,Hannah,21/07/2025 11:15:00,FutureSoft
david96@example.com,David,21/07/2025 11:16:00,NetSpark
charlie97@example.com,Charlie,21/07/2025 11:17:00,FutureSoft
julia98@example.com,Julia,21/07/2025 11:18:00,TechNova
ivan99@example.com,Ivan,21/07/2025 11:19:00,NetSpark
