email,name,timestamp,company
kumarashutosh@flash.co,Ashutosh,21/07/2025 11:00:00,Gadgetry
grace1@example.com,Grace,21/07/2025 11:01:00,TechNova
eva2@example.com,Eva,21/07/2025 11:02:00,Gadgetry
julia3@example.com,Julia,21/07/2025 11:03:00,FutureSoft
alice4@example.com,Alice,21/07/2025 11:04:00,Gadgetry
eva5@example.com,Eva,21/07/2025 11:05:00,Gadgetry
kevin6@example.com,Kevin,21/07/2025 11:06:00,Mailgrid
charlie7@example.com,Charlie,21/07/2025 11:07:00,Widgets Inc
bob8@example.com,Bob,21/07/2025 11:08:00,TechNova
kevin9@example.com,Kevin,21/07/2025 11:09:00,Gadgetry
ashutosh10@example.com,Ashutosh,21/07/2025 11:10:00,FutureSoft
david11@example.com,David,21/07/2025 11:11:00,Mailgrid
bob12@example.com,Bob,21/07/2025 11:12:00,Mailgrid
kevin13@example.com,Kevin,21/07/2025 11:13:00,ByteBank
ashutosh14@example.com,Ashutosh,21/07/2025 11:14:00,TechNova
alice15@example.com,Alice,21/07/2025 11:15:00,TechNova
ashutosh16@example.com,Ashutosh,21/07/2025 11:16:00,Widgets Inc
grace17@example.com,Grace,21/07/2025 11:17:00,NetSpark
charlie18@example.com,Charlie,21/07/2025 11:18:00,Gadgetry
bob19@example.com,Bob,21/07/2025 11:19:00,Gadgetry
